date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2021-04-07,6189014,43482,44258,,,226887,25855,7278,369,,24,1721,422540,1721,422540,1858,122263,1858,122263,69542,880257,2372,,,,,,75493,75493,75493
2021-04-06,6145532,43844,35856,,,223928,25913,7216,357,,29,3838,420819,3838,420819,2290,120405,2290,120405,83734,810715,2484,,,,,,92346,92346,92346
2021-04-05,6101688,21605,35342,,,221578,25419,7155,367,,26,4821,416981,4821,416981,2825,118115,2825,118115,75618,726981,2004,,,,,,85268,85268,85268
2021-04-04,6080083,36771,38448,,,219063,25314,7083,322,,33,5287,412160,5287,412160,1878,115290,1878,115290,57960,651363,969,,,,,,,,
2021-04-03,6043312,28700,39166,,,216108,25314,7032,313,,33,30207,406873,30207,406873,2669,113412,2669,113412,97152,593403,1873,,,,,,,,
2021-04-02,6014612,41945,43968,,,213327,25458,6983,345,,33,17160,376666,17160,376666,1749,110743,1749,110743,45222,496251,1055,,,,,,,,
2021-03-31,5932096,37655,26839,,,209034,23832,6868,312,,37,16596,334432,16596,334432,2848,104974,2848,104974,,,,,,,,,,,
2021-03-30,5894441,23786,25260,,,206246,23731,6813,315,,39,11715,317836,11715,317836,2280,102126,2280,102126,,,,,,,,,,,
2021-03-27,5810694,28020,42982,,,198972,23271,6621,316,,25,8814,296593,8814,296593,1383,98494,1383,98494,,,,,,,,,,,
2021-03-26,5782674,37832,39406,,,196831,22652,6576,304,,25,8309,287779,8309,287779,1929,97111,1929,97111,,,,,,,,,,,
2021-03-25,5744842,40898,40085,,,195015,21405,6517,296,,25,7155,279470,7155,279470,2181,95182,2181,95182,,,,,,,,,,,
2021-03-24,5703944,37687,38829,,,193280,20522,6474,293,,29,8064,272315,8064,272315,2351,93001,2351,93001,,,,,,,,,,,
2021-03-23,5666257,39799,30363,,,191825,19403,6435,268,,29,8314,264251,8314,264251,2765,90650,2765,90650,,,,,,,,,,,
2021-03-22,5626458,23172,31974,,,190399,18628,6382,270,,23,8319,255937,8319,255937,2818,87885,2818,87885,,,,,,,,,,,
2021-03-21,5603286,36956,37131,,,188529,18257,6324,272,,23,3702,247618,3702,247618,757,85067,757,85067,,,,,,,,,,,
2021-03-20,5566330,37771,38963,,,187198,16988,6280,287,,25,7996,243916,7996,243916,2615,84310,2615,84310,,,,,,,,,,,
