date,cases_new,cases_total,discharged_total,discharged_new,deaths_total,deaths_new,cases_active_total,cases_active_new,discharge_rate,fatality_rate
29-12-2020,1244,549715,527272,1587,9655,30,12788,-373,95.92,
28-12-2020,1028,548471,525685,1614,9625,27,13161,-613,95.85,
27-12-2020,1435,547443,524071,1740,9598,29,13774,-334,95.73,
26-12-2020,1253,546008,522331,1861,9569,33,14108,-641,95.66,
25-12-2020,1541,544755,520470,1954,9536,31,14749,-444,95.54,
24-12-2020,1590,543214,518516,2054,9505,32,15193,-496,95.45,
23-12-2020,1628,541624,516462,2153,9473,34,15689,-559,95.35,
22-12-2020,1653,539996,514309,2270,9439,38,16248,-655,95.24,
21-12-2020,1515,538343,512039,2342,9401,41,16903,-868,95.11,
20-12-2020,1978,536828,509697,2627,9360,40,17771,-689,94.95,
19-12-2020,2155,534850,507070,2717,9320,43,18460,-605,94.81,
18-12-2020,2239,532695,504353,2729,9277,42,19065,-532,94.68,
17-12-2020,2245,530456,501624,2747,9235,44,19597,-546,94.56,
16-12-2020,2293,528211,498877,2767,9191,46,20143,-520,94.45,
15-12-2020,2289,525918,496110,2965,9145,45,20663,-721,94.33,
14-12-2020,1834,523629,493145,2980,9100,43,21384,-1189,94.18,
13-12-2020,2580,521795,490165,2994,9057,47,22573,-461,93.94,
12-12-2020,2710,519215,487171,2913,9010,44,23034,-247,93.83,
11-12-2020,2753,516505,484258,2873,8966,50,23281,-170,93.76,
10-12-2020,2801,513752,481385,2951,8916,49,23451,-199,93.7,
09-12-2020,2956,510951,478434,3009,8867,47,23650,-100,93.64,
08-12-2020,2941,507995,475425,2971,8820,49,23750,-79,93.59,
07-12-2020,2214,505054,472454,2231,8771,48,23829,-65,93.55,
06-12-2020,3143,502840,470223,3167,8723,46,23894,-70,93.51,
05-12-2020,3175,499697,467056,3207,8677,49,23964,-81,93.47,
04-12-2020,3206,496522,463849,3215,8628,52,24045,-61,93.42,
03-12-2020,3246,493316,460634,3257,8576,49,24106,-60,93.38,
02-12-2020,3271,490070,457377,3275,8527,51,24166,-55,93.33,
01-12-2020,3315,486799,454102,3340,8476,52,24221,-77,93.28,
30-11-2020,2671,483484,450762,2730,8424,48,24298,-107,93.23,
29-11-2020,3367,480813,448032,3445,8376,54,24405,-132,93.18,
28-11-2020,3459,477446,444587,3487,8322,52,24537,-80,93.12,
27-11-2020,3489,473987,441100,3496,8270,46,24617,-53,93.06,
26-11-2020,3507,470498,437604,3537,8224,52,24670,-82,93.01,
25-11-2020,3528,466991,434067,3605,8172,51,24752,-128,92.95,
24-11-2020,3545,463463,430462,3646,8121,49,24880,-150,92.88,
23-11-2020,3557,459918,426816,3687,8072,47,25030,-177,92.8,
22-11-2020,3591,456361,423129,3726,8025,49,25207,-184,92.72,
21-11-2020,3639,452770,419403,3794,7976,53,25391,-208,92.63,
20-11-2020,3626,449131,415609,3850,7923,50,25599,-274,92.54,
19-11-2020,3620,445505,411759,3990,7873,53,25873,-423,92.43,
18-11-2020,3668,441885,407769,4429,7820,54,26296,-815,92.28,
17-11-2020,3654,438217,403340,4388,7766,52,27111,-786,92.04,
16-11-2020,3012,434563,398952,4376,7714,53,27897,-1417,91.81,
15-11-2020,3053,431551,394576,4480,7661,51,29314,-1478,91.43,
14-11-2020,3823,428498,390096,4479,7610,53,30792,-709,91.04,
13-11-2020,3835,424675,385617,4468,7557,51,31501,-684,90.8,
12-11-2020,3856,420840,381149,4453,7506,54,32185,-651,90.57,
11-11-2020,3872,416984,376696,4431,7452,49,32836,-608,90.34,
10-11-2020,3891,413112,372265,4415,7403,53,33444,-577,90.11,
09-11-2020,3907,409221,367850,4396,7350,56,34021,-545,89.89,
08-11-2020,3920,405314,363454,4383,7294,59,34566,-522,89.67,
07-11-2020,3928,401394,359071,4339,7235,58,35088,-469,89.46,
06-11-2020,3942,397466,354732,4283,7177,55,35557,-396,89.25,
05-11-2020,3948,393524,350449,4187,7122,54,35953,-293,89.05,
04-11-2020,3987,389576,346262,4129,7068,55,36246,-197,88.88,
03-11-2020,3981,385589,342133,4058,7013,56,36443,-133,88.73,
02-11-2020,3957,381608,338075,4085,6957,57,36576,-185,88.59,
01-11-2020,3987,377651,333990,4053,6900,59,36761,-125,88.44,
31-10-2020,3993,373664,329937,4049,6841,57,36886,-113,88.3,
30-10-2020,3979,369671,325888,4015,6784,59,36999,-95,88.16,
29-10-2020,3989,365692,321873,3945,6725,61,37094,-17,88.02,
28-10-2020,3924,361703,317928,3925,6664,60,37111,-61,87.9,
27-10-2020,3957,357779,314003,3917,6604,58,37172,-18,87.76,
26-10-2020,4121,353822,310086,3889,6546,59,37190,173,87.64,
25-10-2020,4127,349701,306197,3857,6487,60,37017,210,87.56,
24-10-2020,4148,345574,302340,3753,6427,59,36807,336,87.49,
23-10-2020,4143,341426,298587,3676,6368,60,36471,407,87.45,
22-10-2020,4157,337283,294911,3608,6308,64,36064,485,87.44,
21-10-2020,4069,333126,291303,3596,6244,64,35579,409,87.45,
20-10-2020,4029,329057,287707,3382,6180,61,35170,586,87.43,
19-10-2020,3992,325028,284325,3272,6119,63,34584,657,87.48,
18-10-2020,3983,321036,281053,3113,6056,64,33927,806,87.55,
17-10-2020,3865,317053,277940,3183,5992,61,33121,621,87.66,
16-10-2020,3771,313188,274757,3194,5931,61,32500,516,87.73,
15-10-2020,3720,309417,271563,3179,5870,62,31984,479,87.77,
14-10-2020,3677,305697,268384,3096,5808,64,31505,517,87.79,
13-10-2020,3631,302020,265288,3185,5744,62,30988,384,87.84,
12-10-2020,3583,298389,262103,3155,5682,60,30604,368,87.84,
11-10-2020,3612,294806,258948,3110,5622,59,30236,443,87.84,
10-10-2020,3591,291194,255838,3032,5563,62,29793,497,87.86,
09-10-2020,3573,287603,252806,3069,5501,62,29296,442,87.9,
08-10-2020,3526,284030,249737,2970,5439,63,28854,493,87.93,
07-10-2020,3455,280504,246767,3024,5376,58,28361,373,87.97,
06-10-2020,3370,277049,243743,3036,5318,63,27988,271,87.98,
05-10-2020,3348,273679,240707,3009,5255,61,27717,278,87.95,
04-10-2020,3357,270331,237698,2986,5194,62,27439,309,87.93,
03-10-2020,3340,266974,234712,3013,5132,62,27130,265,87.92,
02-10-2020,3310,263634,231699,2944,5070,53,26865,313,87.89,
01-10-2020,3275,260324,228755,2996,5017,59,26552,220,87.87,
30-09-2020,3281,257049,225759,2954,4958,59,26332,268,87.83,
29-09-2020,3188,253768,222805,2961,4899,62,26064,165,87.8,
28-09-2020,3155,250580,219844,2923,4837,56,25899,176,87.73,
27-09-2020,3185,247425,216921,2946,4781,60,25723,179,87.67,
26-09-2020,3181,244240,213975,2955,4721,56,25544,170,87.61,
25-09-2020,3190,241059,211020,2978,4665,59,25374,153,87.54,
24-09-2020,3196,237869,208042,3014,4606,62,25221,120,87.46,
23-09-2020,3189,234673,205028,2998,4544,61,25101,130,87.37,
22-09-2020,3182,231484,202030,3047,4483,62,24971,73,87.28,
21-09-2020,3165,228302,198983,3011,4421,62,24898,92,87.16,
20-09-2020,3177,225137,195972,2958,4359,61,24806,158,87.05,
19-09-2020,3188,221960,193014,2993,4298,56,24648,139,86.96,
18-09-2020,3192,218772,190021,2960,4242,59,24509,173,86.86,
17-09-2020,3197,215580,187061,2948,4183,60,24336,189,86.77,
16-09-2020,3237,212383,184113,2971,4123,61,24147,205,86.69,
15-09-2020,3227,209146,181142,2919,4062,59,23942,249,86.61,
14-09-2020,3211,205919,178223,3084,4003,58,23693,69,86.55,
13-09-2020,3215,202708,175139,3054,3945,58,23624,103,86.4,
12-09-2020,3161,199493,172085,3042,3887,59,23521,60,86.26,
11-09-2020,3157,196332,169043,3016,3828,57,23461,84,86.1,
09-09-2020,3107,190063,162992,2967,3730,53,23341,87,85.76,
08-09-2020,3091,186956,160025,2996,3677,57,23254,38,85.6,
07-09-2020,3077,183865,157029,3021,3620,58,23216,-2,85.4,
06-09-2020,3087,180788,154008,3207,3562,52,23218,-172,85.19,
05-09-2020,3042,177701,150801,3248,3510,58,23390,-264,84.86,
04-09-2020,2978,174659,147553,3305,3452,58,23654,-385,84.48,
03-09-2020,2984,171681,144248,3335,3394,55,24039,-406,84.02,
02-09-2020,2976,168697,140913,3297,3339,56,24445,-377,83.53,
01-09-2020,2943,165721,137616,3346,3283,55,24822,-458,83.04,
31-08-2020,2993,162778,134270,3318,3228,52,25280,-377,82.49,
30-08-2020,3019,159785,130952,3308,3176,50,25657,-339,81.96,
29-08-2020,3012,156766,127644,3312,3126,53,25996,-353,81.42,
