date,district,deaths_reported,death_through_appeal,pending_deaths,death_cases_approved
15-11-2021,Palakkad,1,10,0,11
15-11-2021,Malappuram,9,0,0,9
15-11-2021,Kozhikode,1,4,0,5
15-11-2021,Wayanad,0,0,0,0
15-11-2021,Kannur,0,2,0,2
15-11-2021,Kasaragod,0,7,0,7
15-11-2021,total,57,70,0,127
14-11-2021,Thiruvananthapuram,3,9,0,12
14-11-2021,Kollam,10,0,0,10
14-11-2021,Pathanamthitta,0,0,0,0
14-11-2021,Alappuzha,5,8,0,13
14-11-2021,Kottayam,8,0,0,8
14-11-2021,Idukki,0,0,0,0
14-11-2021,Ernakulam,8,2,0,10
14-11-2021,Thrissur,0,0,0,0
14-11-2021,Palakkad,6,0,0,6
14-11-2021,Malappuram,3,0,0,3
14-11-2021,Kozhikode,2,0,0,2
14-11-2021,Wayanad,0,0,0,0
14-11-2021,Kannur,0,0,0,0
14-11-2021,Kasaragod,1,0,0,1
14-11-2021,total,46,19,0,65
