date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2021-10-12,20,14771,7562158,343695,330022,7397,158,24918
2021-10-11,7,13623,7546861,343675,330007,7396,162,27397
2021-10-10,6,7868,7536187,343668,329991,7396,172,12751
2021-10-09,17,13596,7524461,343662,329984,7396,173,25319
2021-10-08,19,15625,7510831,343645,329976,7396,166,30219
2021-10-07,8,14924,7495348,343626,329967,7396,156,17759
2021-10-06,22,15308,7478809,343618,329953,7396,163,24345
2021-10-05,12,17209,7462839,343596,329946,7395,149,32583
2021-10-04,17,16306,7448199,343584,329936,7395,150,34535
2021-10-03,12,8191,7436267,343567,329920,7395,152,13324
2021-10-02,5,9931,7424435,343555,329910,7395,150,23902
2021-10-01,13,17190,7413081,343550,329893,7395,162,39370
2021-09-30,7,14188,7395962,343537,329876,7394,167,40553
2021-09-29,11,14516,7381005,343530,329828,7394,209,33823
2021-09-28,15,16859,7364891,343519,329813,7393,214,41586
2021-09-27,14,16092,7349844,343504,329794,7393,218,40450
2021-09-26,16,10415,7336734,343490,329774,7393,226,24078
2021-09-25,15,16748,7321147,343474,329758,7393,228,49525
2021-09-24,14,17513,7303934,343459,329738,7393,238,52502
2021-09-23,17,16565,7287881,343445,329715,7391,249,61169
2021-09-22,23,17103,7271590,343428,329695,7391,256,58241
2021-09-21,12,17315,7253969,343405,329679,7391,249,67131
2021-09-20,11,16075,7236680,343393,329651,7390,267,74572
2021-09-19,6,12158,7221453,343382,329634,7390,273,48798
2021-09-18,21,17637,7206586,343376,329619,7390,282,107616
2021-09-17,25,15374,7188681,343355,329605,7389,282,172641
2021-09-16,20,18369,7171727,343330,329582,7389,284,60548
2021-09-15,49,18246,7152326,343310,329554,7389,296,62056
2021-09-14,19,18272,7133139,343261,329521,7389,285,70408
2021-09-13,19,18833,7114102,343242,329495,7389,293,65379
2021-09-12,12,11816,7098368,343223,329458,7389,312,37421
2021-09-11,24,18690,7081010,343211,329438,7389,320,68661
2021-09-10,20,19442,7062188,343187,329415,7389,319,67748
2021-09-09,16,19021,7043105,343167,329387,7389,331,68636
2021-09-08,12,20872,7024202,343151,329361,7389,349,67453
2021-09-07,14,20214,7004656,343139,329327,7389,371,72661
2021-09-06,25,19132,6984996,343125,329306,7388,379,76060
2021-09-05,16,13396,6968497,343100,329271,7388,389,58656
2021-09-04,14,20191,6950594,343084,329251,7388,393,77518
2021-09-03,36,19299,6931457,343070,329221,7387,410,88544
2021-09-02,33,19208,6914911,343034,329212,7387,383,88077
2021-09-01,25,20426,6895451,343001,329197,7387,365,85530
2021-08-31,28,18618,6876339,342976,329183,7387,354,90947
2021-08-30,38,14657,6859272,342948,329159,7381,356,38795
2021-08-29,16,11210,6845842,342910,329143,7380,335,79938
2021-08-28,19,16202,6829733,342894,329136,7380,326,112084
2021-08-27,32,17612,6812404,342875,329122,7380,321,107527
2021-08-26,25,17294,6795653,342843,329090,7377,324,99543
2021-08-25,32,17697,6777503,342818,329069,7377,320,70423
2021-08-24,15,17081,6761182,342786,329047,7377,310,88582
2021-08-23,,,,,,,,
2021-08-22,12,5651,6732635,342749,329006,7377,317,6727
2021-08-21,21,15831,6722977,342737,328990,7377,321,76894
2021-08-20,15,13716,6708593,342716,328958,7376,333,57028
2021-08-19,33,17420,6692588,342701,328934,7376,342,87363
2021-08-18,16,18930,6676652,342668,328914,7374,331,71402
2021-08-17,31,19648,6657529,342637,328885,7373,330,119493
2021-08-16,18,19054,6637901,342606,328844,7371,342,85733
2021-08-15,16,10056,6619466,342588,328790,7370,380,11528
2021-08-14,19,19759,6607562,342572,328759,7370,396,107514
2021-08-13,27,21228,6587494,342553,328735,7370,401,101638
2021-08-12,24,19252,6566843,342526,328695,7369,418,119194
2021-08-11,40,20030,6547208,342502,328658,7369,435,99348
