date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-04-23,ludhiana,995,8.74,,"65 contact of positive case,182 new cases (opd), 523 new cases (ili), 6 healthcare worker, 219 new cases",,47353,6252,39821,1280
2021-04-23,jalandhar,465,9.33,,465 new cases,,38865,3554,34272,1039
2021-04-23,sas nagar,982,23.45,,982 new cases,,40167,7602,32036,529
2021-04-23,patiala,533,10.82,,"45 contacts of positive case,  488 new cases",,29578,3365,25513,700
2021-04-23,amritsar,722,21.7,,722  new cases,,29211,4807,23539,865
2021-04-23,hoshiarpur,243,11.55,,"20 contacts of positive case, 12 new case (ili), 211 new cases",,18770,1744,16340,686
2021-04-23,bathinda,593,25.62,,"21 contact of positive case, 94 new cases (ili),  478 new cases",,16870,3172,13394,304
2021-04-23,gurdaspur,238,6.43,,"38 contact of positive case, 22 new cases (ili), 178 new cases",,14165,1465,12250,450
2021-04-23,kapurthala,72,5.5,,72 new cases,,11393,759,10314,320
2021-04-23,sbs nagar,46,2.82,,"11 new cases (ili), 35 new cases",,8345,416,7702,227
2021-04-23,pathankot,197,12.7,,"36 new cases (ili), 161 new cases",,8598,1058,7343,197
2021-04-23,sangrur,201,7.45,,201 new cases,,7464,1007,6171,286
2021-04-23,ferozepur,229,46.64,,229 new cases,,6861,858,5805,198
2021-04-23,ropar,90,6.12,,90 new cases,,7358,1019,6093,246
2021-04-23,faridkot,275,28.03,,275 new cases,,6684,983,5591,110
2021-04-23,fazilka,82,6.51,,,case details pending,6082,1148,4827,107
2021-04-23,muktsar,204,26.6,,"39 new cases (ili), 165  new cases",,6295,1212,4960,123
2021-04-23,fg sahib,21,2.14,,21 new cases,,4645,346,4165,134
2021-04-23,tarn taran,123,6.34,,"10 contact of positive case, 2 new cases (ili), 111 new cases",,5016,860,3958,198
2021-04-23,moga,122,16.78,,122 new cases,,4803,891,3797,115
2021-04-23,mansa,256,34.04,,"5 contact of positive case, 251 new cases",,4656,1113,3481,62
2021-04-23,barnala,73,14.23,,73  new cases,,3268,312,2868,88
